name,genre,type,episodes,rating,members
3335.0,535.0,1.0,1.0,8.59,51185.0
3942.0,995.0,4.0,10.0,8.59,297454.0
5499.0,760.0,6.0,24.0,8.59,425457.0
9893.0,2527.0,6.0,13.0,8.59,71295.0
11327.0,2320.0,6.0,99.0,8.59,72958.0
801.0,1659.0,1.0,1.0,8.58,80825.0
4257.0,2525.0,1.0,1.0,8.58,174878.0
5860.0,2308.0,6.0,25.0,8.58,243325.0
6510.0,1814.0,6.0,25.0,8.58,28653.0
7948.0,22.0,6.0,-1.0,8.58,504862.0
3250.0,1057.0,6.0,26.0,8.57,113993.0
4761.0,39.0,6.0,39.0,8.57,74074.0
5140.0,1125.0,1.0,1.0,8.57,95658.0
5444.0,976.0,6.0,39.0,8.57,31234.0
9970.0,1819.0,6.0,101.0,8.56,82570.0
11460.0,3022.0,6.0,11.0,8.56,194855.0
3359.0,3113.0,1.0,1.0,8.55,25641.0
7013.0,650.0,6.0,12.0,8.55,193716.0
7368.0,1771.0,6.0,47.0,8.55,197256.0
766.0,534.0,6.0,13.0,8.54,363215.0
7291.0,1527.0,5.0,1.0,8.54,34011.0
9721.0,733.0,6.0,25.0,8.54,896229.0
820.0,1808.0,6.0,25.0,8.53,151561.0
1839.0,1798.0,6.0,50.0,8.53,53108.0
2359.0,3200.0,1.0,1.0,8.53,28864.0
2633.0,1090.0,1.0,1.0,8.53,182224.0
9772.0,2568.0,6.0,25.0,8.53,288376.0
11337.0,799.0,4.0,26.0,8.53,44223.0
1467.0,2503.0,6.0,25.0,8.52,86074.0
2686.0,938.0,6.0,13.0,8.51,453630.0
4759.0,366.0,6.0,26.0,8.51,190197.0
6385.0,2591.0,6.0,12.0,8.51,462974.0
7588.0,2311.0,6.0,26.0,8.52,254436.0
8709.0,1138.0,6.0,22.0,8.5,509109.0
874.0,2350.0,6.0,12.0,8.5,225927.0
2143.0,2308.0,6.0,51.0,8.5,38531.0
6325.0,247.0,6.0,25.0,8.5,245026.0
6388.0,2591.0,1.0,1.0,8.5,135735.0
6513.0,1831.0,4.0,2.0,8.5,13405.0
9231.0,92.0,6.0,26.0,8.5,390076.0
9833.0,2774.0,6.0,13.0,8.5,185015.0
5192.0,276.0,6.0,12.0,8.49,207241.0
6387.0,2591.0,1.0,1.0,8.49,85361.0
6511.0,1831.0,6.0,25.0,8.49,24788.0
7161.0,2405.0,6.0,12.0,8.49,88850.0
9801.0,1708.0,6.0,24.0,8.49,146895.0
675.0,2745.0,6.0,47.0,8.48,6259.0
4296.0,364.0,6.0,62.0,8.48,166255.0
7740.0,365.0,6.0,13.0,8.48,299434.0
9184.0,2575.0,6.0,12.0,8.48,146592.0
11051.0,1399.0,1.0,1.0,8.48,271484.0
3240.0,1060.0,6.0,26.0,8.47,194491.0
5231.0,1511.0,1.0,1.0,8.47,143273.0
7691.0,1253.0,6.0,12.0,8.47,602291.0
9012.0,1464.0,6.0,33.0,8.47,15074.0
12138.0,390.0,6.0,112.0,8.47,195017.0
5477.0,367.0,6.0,13.0,8.46,102822.0
5859.0,2308.0,6.0,25.0,8.46,338315.0
7708.0,1759.0,6.0,23.0,8.46,157025.0
8070.0,1528.0,6.0,12.0,8.46,210491.0
9728.0,930.0,4.0,2.0,8.45,92543.0
10263.0,3241.0,5.0,1.0,8.46,159548.0
2709.0,905.0,6.0,13.0,8.45,205987.0
5259.0,2448.0,6.0,50.0,8.45,36751.0
5542.0,3176.0,1.0,1.0,8.45,99579.0
7543.0,2366.0,1.0,1.0,8.45,215630.0
11081.0,2263.0,6.0,25.0,8.45,633817.0
10977.0,1495.0,1.0,1.0,8.44,289206.0
11216.0,168.0,4.0,3.0,8.44,57963.0
8230.0,2213.0,6.0,12.0,8.43,107855.0
9042.0,91.0,6.0,94.0,8.43,218928.0
10282.0,280.0,1.0,1.0,8.43,125503.0
2075.0,1632.0,1.0,1.0,8.42,28462.0
2707.0,905.0,6.0,12.0,8.42,267484.0
6506.0,1828.0,6.0,26.0,8.42,41061.0
7079.0,1064.0,4.0,6.0,8.42,15420.0
7385.0,212.0,6.0,24.0,8.42,331627.0
7464.0,2499.0,6.0,13.0,8.42,210736.0
7954.0,21.0,1.0,1.0,8.42,85020.0
4063.0,3155.0,6.0,24.0,8.41,218101.0
4300.0,364.0,4.0,8.0,8.41,53168.0
4303.0,364.0,4.0,14.0,8.41,55787.0
5885.0,1696.0,4.0,2.0,8.41,67261.0
